Drat	Grat-1	Grat-8
0.2	0	0.1
0.2	0	0.1
0.1	0	0.1
0.1	0	0.1
0.1	0	0.1
0.1	0	0.1
0.1	0	0.1
0.8	0.6	0.7
1.3	1.3	1.4
0.6	0.7	0.8
1.3	1.3	1.3
0.9	1	1.3
1.4	1.5	0.9
1	1.2	1.4
0.9	1.3	1.1
1.8	2	2.3
4.3	4.6	6
4.4	7.8	8.7
5.7	10.1	10.6
6.2	11.2	7.5
5.7	9.8	10
11.5	12.2	7.4
12.7	11.6	6.8
8	13.8	13.4
9.9	19.9	11.5
3.7	4.4	4.6
16.2	24.7	19.2
20.1	18.2	8.6
8.7	9.8	8.7
13	20.8	21.8
23.9	21.5	23.5
8.3	9.4	8.6
8.7	10	8.7
22.1	21.3	23
60.3	31.8	12.7
14.2	24.2	24.6
14.2	22.3	22.5
64.8	26.9	9.8
10.8	11.9	10.6
30.5	29.6	31.9
27.6	34.1	20
27.7	30.6	31.8
32.4	24.3	9.9
971.5	90.7	44.4
50.7	33.9	21.7
80.7	33.8	13.5
1480.5	170.5	78.5
101.1	60.4	36.8
3451.5	309.8	123.6
203.1	106.9	63.6
821.4	294.1	116.7
61.3	158.7	113.9
108.5	94.4	87.1
7341	610.6	204.2
1247.6	683.7	183.8
1742.6	539	144.9
273.9	206.6	94.6
185.7	150.2	89.8
5009	1567.2	393.7
179.7	180.6	106
2167.5	742.3	161.3
212.2	96.9	40.7
1327.8	477.9	127.6
712.1	506.3	182.2
2587.1	805.4	217.3
5512	1966.2	440.3
651.8	369.1	118.6
565.5	259	83.1
660.1	277.7	90.5
596	502.1	217.1
271.4	222.7	106.8
738.3	314	104.3
1510.3	392.7	160
633.1	335.5	192.9
518.8	327.5	134.5
260	221.3	127.3
1601.4	1018.1	480.6
5435	1756.3	356.3
1155.9	532.3	320
812.2	1225.7	705.3
655.2	1709.3	1135.7
10777	4669.8	1087.2
2262.2	925.1	311.6
920.2	526.4	215.1
242.4	148.3	91.2
7248	2961.3	1086.7
153	165.3	142.3
1788.7	849.2	476.1
1168.1	815.2	353
190	196.1	185.9
1234	1730	986
633.9	434.7	233.9
9406	4350.1	1632.4
3039.8	1376.7	713.3
1849.7	697.2	257.9
3160.3	1968.8	938.9
2055.5	1585.2	641.3
3283.4	1433.1	384.7
1395.5	1025.6	536.2
2369.7	2528.6	1095.9
1848	876.2	365.4
3087.8	1551.1	610.3
1530.2	784.8	353.6
889	500.9	244.5
20000	8452.6	2346.7
20000	7548.9	1628.6
% Excluded, b/c drat-trim SEGF 928.4	3799.7	2297
16549	5472.1	1462.3
12045	3917.5	1048.4
10782	1128.6	388.5
