Drat	Grat-1	Grat-8
0.1	0	0
0.1	0	0
0.1	0	0
0.1	0	0
0.1	0	0
0.1	0	0
0.1	0	0
0.3	0.5	0.6
0.4	0.6	0.7
0.4	0.6	0.7
0.7	0.9	1.1
0.7	1	1.1
1	1.2	0.9
1.4	2.3	3
1.6	2.2	1.7
1.9	3.1	3.4
2.5	2.5	1.9
3.2	5.5	5.8
4.5	8.1	8.9
5.5	9.3	10.2
6.8	11.8	12.6
6.6	10	9.6
8	13.4	13.6
8	12.4	11.9
10.2	16	15.2
10.8	17.2	13.3
11.8	14.8	15.1
11	11.6	10.5
11.6	11.6	10.6
13	21.1	21.1
13.7	21	20
14.8	24	23.5
14.5	14.6	13.2
14.7	14.7	13.3
17	24.1	16.6
16	12.2	5.1
17.1	26.1	25.9
18.3	22.5	13.6
18.4	26.7	19.6
20.6	29.4	26.3
22	21.8	10.1
24.9	18.7	6.6
28.1	31.8	20.8
30.3	32.3	17.5
38.2	35.9	14.9
52.7	36.8	12.9
33	42.5	29.1
55.5	48.9	44
64.1	80.6	40.7
55.5	49	43.7
59	54.3	48.5
46.6	151.9	111.2
89	100.9	64.7
87.9	98.1	56.9
92.1	101.6	62.3
92.7	73.8	66.2
94	37.4	20.3
99.2	65.5	26.3
143.8	111.2	63.7
131.6	95.9	88.7
158.9	159.3	75.4
190.8	229.2	93.9
249	183.5	101
215.3	152.4	143.5
247.2	215.4	116.6
264.2	421.6	248
318.1	212.4	212.7
268.1	273.9	151.1
298.1	277.6	81
410.2	286.8	149.8
446.1	635.6	407.7
307.3	584.2	603.9
452.3	275.1	261.2
635	405.1	219.7
426	353	321.3
407.8	316.2	287.6
334	331.8	165.2
427.3	890.2	673.8
544.8	459	202.5
703.6	445.2	400
556.9	426.7	384.4
607.4	537.1	346.1
595.4	452	435.9
648.2	450.5	402.5
732.4	427.3	414.7
697.9	548.9	475.2
717.3	569.1	480.7
698.4	530.9	439.3
724.6	569.3	477.1
695	664.4	327.3
836.4	621.3	549.9
1167.8	698.3	322.2
997.3	571.5	552
892.3	622.8	544.3
973.1	1248.6	639.8
878.6	588	256.9
832.1	649.1	546.7
938.4	676.4	573.3
1235.6	1307.7	747.2
947.9	713.5	604.5
1618.9	1056.1	554.4
958.6	839.3	824
3117.4	3814.2	1870.3
1715.5	1269.8	468
1467.6	1245.7	782.9
1116.5	858	676.6
1850.8	1112.5	452.3
1595.4	944.1	337.6
1674.6	1540.8	617.4
1507.4	1157.9	382
1192.9	1021	988.8
1560.7	1825.5	921.2
841.1	1018.7	439.6
1605.9	1126	978.6
1352	1711.3	773.2
2332.7	2278.2	1959.1
1855.6	1254.1	1161.2
1782.2	5312.9	3997.5
2006.6	1362.4	863.9
2389.4	2915.1	1423.4
1735.1	1465.7	1428.2
3208.9	2140.1	1095.1
4442	1959.4	964.9
2917.9	1915.8	1507.5
2713.7	2625.8	1102.2
7049	6179.6	3275.3
% 16696	16599.3	5451.6
8964	6742.2	2780.4
