Grat-1	Grat-8	Grat-16	Drat
14.8	11.4	11.4	10.8
23.2	10.6	9.6	11.5
17.4	8.4	8.1	12.7
22.5	22.3	24.3	13
26.3	25.3	26.5	14.2
24.2	23.1	24.9	14.2
30.1	20.8	23.3	16.2
29	11.4	10.3	20.1
22.1	23.1	24.9	22.1
22.8	23.2	24.9	23.9
45.4	24	26.7	27.6
32.1	32.1	34.5	27.7
30.4	32.7	34.5	30.5
41.5	13.3	12.4	32.4
56.7	26.6	27	50.7
50.6	17	14.7	60.3
235.7	178.5	173.5	61.3
63	18.8	16.2	64.8
84.3	27.6	24.6	80.7
91	44.6	45.7	101.1
111	92	97	108.5
217.3	158	156.9	153
270.8	127.4	137.9	179.7
237	115.8	108.2	185.7
252.6	190.7	189.9	190
157.8	76.3	81.6	203.1
228.5	74.3	68.4	212.2
233.8	110.8	104.3	242.4
381.1	166.6	153.8	260
410.7	164	147.2	271.4
403.8	140.9	135.6	273.9
606	199.2	181.2	518.8
495.4	129.3	101.9	565.5
990.2	346.6	365.4	596
521.8	228.5	241.7	633.1
804.8	328.8	310.4	633.9
703.1	204.8	172.5	651.8
2068.3	1198.7	1170.8	655.2
537.4	143.3	113.1	660.1
955.9	285.7	268.2	712.1
605.2	158.9	126.9	738.3
1477	799.6	750.3	812.2
566.8	179.9	162.5	821.4
885.4	338.2	322.5	889
962.1	332.3	314.1	920.2
602	237	220.9	971.5
817.8	375.9	385.7	1155.9
1748.6	629.5	634.8	1168.1
2544.3	1070.8	1301.5	1234
1062.1	266.4	220.5	1247.6
861	192.9	171.1	1327.8
1510.3	713.2	705.4	1395.5
1122.1	448	404.7	1480.5
1418.4	337.8	291.9	1510.3
1655.5	615.3	607.1	1530.2
2018.3	682	675.2	1601.4
1793.9	400.5	332.7	1742.6
1309.9	559.7	567	1788.7
1497.7	485.7	447.4	1848
2027.2	584.6	469.2	1849.7
3119	1116.4	838.5	2055.5
1730.7	324.9	251	2167.5
2084.6	631.9	541.4	2262.2
3672.3	1274.7	1264.4	2369.7
2624.9	565.2	478.5	2587.1
2088.2	843.2	843	3039.8
3203.7	1036.3	1031.2	3087.8
3164.9	1115.5	1050.7	3160.3
2751	617.6	503	3283.4
2314.1	750.1	680.7	3451.5
4033.1	855.7	727.4	5009
4471.1	770.9	600.9	5435
4902.1	917.7	716.7	5512
8293.2	2185.9	1887.7	7248
4426.2	1291.7	1177.9	7341
11300.8	3004.8	2624.4	9406
8898	1830.1	1429.9	10777
#
# Long-running (drat timed out in sat comp) 
19673.8	4349.7  XX	20000
19107.2	3447.9  XX	20000
4480.7	2393.5 XX	20000
13252.6	2957.9  XX	16549
9268.8	2103.3 XX	12045
8288	2042.5 XX	10782
