Drat-mem	Gratgen-1-mem	Gratgen-8-mem	Gratgen-16-mem
95720	4356	12240	16304
95720	4264	10564	16712
95732	4336	8496	16408
95764	4372	10316	16708
95700	4388	10424	14688
95788	4316	8840	16620
95804	4460	10628	17668
107336	37048	141000	262544
128420	117492	246316	441652
110660	48512	186324	353672
116356	59224	252852	476180
118820	62204	256396	481896
99996	17972	57036	100620
122144	73048	301988	563020
109084	44316	180336	331852
133952	107864	454556	852856
238600	272000	1449280	2811508
291444	635764	1777100	3276224
354568	748600	2207508	4083400
201652	259680	1255240	2428192
306700	670720	1990588	3664240
111232	122472	217172	329072
143448	132484	459392	845480
419184	861472	2595748	4804524
262132	330452	1672428	3228864
146880	141216	641820	1200412
449056	1010108	3121620	5735020
131276	121188	336212	597116
188004	195852	719116	1342332
435608	726636	3050060	6019764
556716	948904	3782608	7522540
191612	212896	732916	1360652
193668	202600	749528	1400744
539032	906332	3668024	7288648
157780	182872	743220	1388488
436932	726076	3094892	6104500
448928	747132	3172528	6263708
144704	139892	507352	939344
212864	255360	899336	1681032
699436	1252168	5010324	9979748
347800	708472	2742156	5118928
664836	1191524	4899284	9717240
142992	151600	667752	1277172
227896	301644	1199868	2235752
238544	306056	1130772	2099072
185304	245804	911280	1678356
264400	393488	1547116	2855292
306016	460928	1652956	3072908
318756	493684	2020704	3757484
383612	621068	2286288	4248596
471416	1293820	4040372	7325124
137380	1685928	2107176	2584560
1616528	3117472	12705320	25205316
377668	668144	2552168	4706540
504108	1219808	4483160	8333224
523660	964448	3791304	7201764
358528	877552	2490768	4336968
748804	1328016	5558988	10586720
1108484	2135828	9266928	17875188
500544	893892	3171400	5881760
339616	605764	2491244	4667172
311376	588960	2400608	4538444
776656	1290416	5687600	10726792
437936	1424504	3667592	6272328
680196	1271900	5120736	9693424
587572	1342388	4755584	8809024
243900	610376	1604108	2791144
481444	830016	3597388	6850796
480808	828832	3631948	6853968
359232	2532344	4157948	6002860
345268	1284588	3302528	5840572
614572	1128652	4747544	9036124
1136660	2040236	8608672	16379880
697068	1284676	4636844	8610616
457220	1436492	3637804	6150592
906040	1720260	6824032	12648356
797028	4562440	8759736	13593476
640992	1208660	4947076	9311856
862292	1654944	5913684	10963052
4525248	8424248	36840032	71295380
557164	10771136	13994684	17653784
1357344	3724796	12397672	22665876
411820	1463748	3496296	5879772
700648	2195544	5992840	10325256
1093136	2026560	7986728	15497656
1792888	3348628	13440780	25589544
1352712	2564220	9974592	18976340
1116256	2096800	7650700	13999424
605292	2068064	5134880	8616680
1489468	2851216	11177176	21351656
6215212	11662340	50231896	97818156
1459724	2909488	11502164	21323876
2169388	4168136	16314384	31074244
1450192	2796004	9969556	18381792
553512	1243796	4676508	8719996
2686080	6829676	22780844	41021268
760244	3293132	7501472	12389852
1583524	2935384	12540512	23924544
2414888	4831640	20359476	38116320
1853444	3500208	12594292	23202172
3742084	7346400	29141192	57666020
1107100	4888808	10876540	17711148
1276476	2825268	10056892	18357600
2080024	3992748	15854152	30614504
#
# Long running, where drat timed out in sat competition
6182464	13020972	54151776 XX
1847004	3575056	14564528 XX
14758916	28831816	121264200 XX
3896740	7757484	33975540 XX
2547996	5408332	22250404 XX
465668	800332	3201552 XX
