problem,  Solver,sat-user-time/s, sat-sys-time(s), sat-wall-time/s, sat-mem/KiB, 
g2-ACG-15-10p1,  Maple,  0.3,   0.1,   0.4,  207016.0, 
g2-ACG-20-10p1,  Maple,  0.4,   0.1,   0.5,  261084.0, 
g2-ACG-20-5p1,  Maple,  0.3,   0.1,   0.4,  207116.0, 
g2-ak128astepbg1btisc,  Maple,  0.3,   0.1,   0.4,  206964.0, 
g2-ak128boothbg1btisc,  Maple,  0.3,   0.1,   0.4,  252968.0, 
g2-ak128diagobg1btaig,  Maple,  0.4,   0.1,   0.5,  271412.0, 
g2-ak128modasbg1msisc,  Maple,  0.3,   0.1,   0.3,  206964.0, 
g2-ak128modasbg1sbisc,  Maple,  0.3,   0.1,   0.4,  207000.0, 
g2-ak128modbtbg1asaig,  Maple,  0.3,   0.1,   0.4,  206936.0, 
g2-ak128modbtbg1asisc,  Maple,  0.2,   0.0,   0.3,  155964.0, 
g2-ak128modbtbg1btaig,  Maple,  0.4,   0.1,   0.5,  279568.0, 
g2-ak128paralbg1sbisc,  Maple,  0.3,   0.1,   0.3,  207156.0, 
g2-ak128simpbbg1sbisc,  Maple,  0.3,   0.1,   0.4,  207008.0, 
g2-gss-22-s100,  Maple,  0.0,   0.0,   0.1,   18536.0, 
g2-mizh-md5-47-3,  Maple,  0.1,   0.0,   0.1,   53016.0, 
g2-mizh-md5-47-5,  Maple,  0.1,   0.0,   0.1,   54660.0, 
g2-mizh-md5-48-2,  Maple,  0.1,   0.0,   0.1,   56356.0, 
g2-mizh-md5-48-5,  Maple,  0.1,   0.0,   0.1,   54380.0, 
g2-modgen-n200-m90860q08c40-13698,  Maple,  0.0,   0.0,   0.0,    3088.0, 
g2-modgen-n200-m90860q08c40-16823,  Maple,  0.0,   0.0,   0.0,    3128.0, 
g2-modgen-n200-m90860q08c40-3230,  Maple,  0.0,   0.0,   0.0,    3064.0, 
g2-modgen-n200-m90860q08c40-6967,  Maple,  0.0,   0.0,   0.0,    3108.0, 
g2-mult1.c.50.smt2-cvc4,  Maple,  0.3,   0.1,   0.3,  204888.0, 
g2-newton.8.3.i.smt2-cvc4,  Maple,  0.4,   0.1,   0.4,  246832.0, 
g2-slp-synthesis-aes-top24,  Maple,  0.1,   0.0,   0.1,   43432.0, 
g2-slp-synthesis-aes-top26,  Maple,  0.1,   0.0,   0.1,   42972.0, 
g2-slp-synthesis-aes-top28,  Maple,  0.1,   0.0,   0.1,   52548.0, 
g2-slp-synthesis-aes-top29,  Maple,  0.1,   0.0,   0.1,   52652.0, 
g2-slp-synthesis-aes-top30,  Maple,  0.1,   0.0,   0.1,   55256.0, 
g2-Sz512_15128_1.smt2-cvc4,  Maple,  0.0,   0.0,   0.0,   10196.0, 
g2-T141.1.0,  Maple,  1.9,   0.5,   2.4, 1345668.0, 
g2-T169.1.0,  Maple,  1.4,   0.4,   1.8, 1033276.0, 
g2-test_v7_r7_vr5_c1_s14675.smt2-cvc4,  Maple,  0.3,   0.1,   0.4,  204896.0, 
g2-UCG-15-10p1,  Maple,  0.3,   0.1,   0.3,  204908.0, 
g2-UCG-20-10p1,  Maple,  0.3,   0.1,   0.4,  204876.0, 
g2-UCG-20-5p1,  Maple,  0.3,   0.1,   0.3,  204960.0, 
g2-UR-20-10p1,  Maple,  0.3,   0.1,   0.4,  204928.0, 
g2-UR-20-5p1,  Maple,  0.3,   0.1,   0.4,  204964.0, 
g2-UTI-20-10p1,  Maple,  0.3,   0.1,   0.4,  205096.0, 
g2-UTI-20-5p1,  Maple,  0.3,   0.1,   0.3,  204852.0, 
mp1-21.0,  Maple,  0.1,   0.0,   0.1,   43480.0, 
mp1-21.1,  Maple,  0.1,   0.0,   0.1,   42952.0, 
mp1-21.2,  Maple,  0.1,   0.0,   0.1,   42900.0, 
mp1-21.3,  Maple,  0.1,   0.0,   0.1,   43216.0, 
mp1-21.4,  Maple,  0.1,   0.0,   0.1,   42852.0, 
mp1-21.5,  Maple,  0.1,   0.0,   0.1,   42876.0, 
mp1-21.6,  Maple,  0.1,   0.0,   0.1,   43168.0, 
