problem, drat-user-time/s, drat-sys-time(s), drat-wall-time/s, drat-mem/KiB, gratgen-j1-user-time/s, gratgen-j1-sys-time(s), gratgen-j1-wall-time/s, gratgen-j1-mem/KiB, gratchk-j1-user-time/s, gratchk-j1-sys-time(s), gratchk-j1-wall-time/s, gratchk-j1-mem/KiB, gratgen-j4-user-time/s, gratgen-j4-sys-time(s), gratgen-j4-wall-time/s, gratgen-j4-mem/KiB, gratchk-j4-user-time/s, gratchk-j4-sys-time(s), gratchk-j4-wall-time/s, gratchk-j4-mem/KiB, gratgen-j8-user-time/s, gratgen-j8-sys-time(s), gratgen-j8-wall-time/s, gratgen-j8-mem/KiB, gratchk-j8-user-time/s, gratchk-j8-sys-time(s), gratchk-j8-wall-time/s, gratchk-j8-mem/KiB, gratgen-j12-user-time/s, gratgen-j12-sys-time(s), gratgen-j12-wall-time/s, gratgen-j12-mem/KiB, gratchk-j12-user-time/s, gratchk-j12-sys-time(s), gratchk-j12-wall-time/s, gratchk-j12-mem/KiB, gratgen-j16-user-time/s, gratgen-j16-sys-time(s), gratgen-j16-wall-time/s, gratgen-j16-mem/KiB, gratchk-j16-user-time/s, gratchk-j16-sys-time(s), gratchk-j16-wall-time/s, gratchk-j16-mem/KiB, 
modgen-n200-m90860q08c40-29020,   0.1,   0.0,   0.2,   95720.0,   0.0,   0.0,   0.1,    4356.0,   0.0,   0.0,   0.0,    5756.0,   0.0,   0.0,   0.0,    5980.0,   0.0,   0.0,   0.0,    5656.0,   0.0,   0.0,   0.0,   12240.0,   0.0,   0.0,   0.0,    5688.0,   0.0,   0.0,   0.0,   12240.0,   0.0,   0.0,   0.0,    5480.0,   0.0,   0.0,   0.0,   16304.0,   0.0,   0.0,   0.0,    5736.0, 
modgen-n200-m90860q08c40-15163,   0.1,   0.0,   0.2,   95720.0,   0.0,   0.0,   0.1,    4264.0,   0.0,   0.0,   0.0,    5228.0,   0.0,   0.0,   0.0,    6120.0,   0.0,   0.0,   0.0,    5224.0,   0.0,   0.0,   0.0,   10564.0,   0.0,   0.0,   0.0,    5128.0,   0.0,   0.0,   0.0,   12432.0,   0.0,   0.0,   0.0,    5176.0,   0.0,   0.0,   0.0,   16712.0,   0.0,   0.0,   0.0,    5204.0, 
modgen-n200-m90860q08c40-12992,   0.1,   0.0,   0.1,   95732.0,   0.0,   0.0,   0.1,    4336.0,   0.0,   0.0,   0.0,    4940.0,   0.0,   0.0,   0.0,    6160.0,   0.0,   0.0,   0.0,    4944.0,   0.0,   0.0,   0.0,    8496.0,   0.0,   0.0,   0.0,    4944.0,   0.0,   0.0,   0.0,   13008.0,   0.0,   0.0,   0.0,    4852.0,   0.0,   0.0,   0.0,   16408.0,   0.0,   0.0,   0.0,    4888.0, 
modgen-n200-m90860q08c40-21438,   0.1,   0.0,   0.1,   95764.0,   0.0,   0.0,   0.1,    4372.0,   0.0,   0.0,   0.0,    5096.0,   0.0,   0.0,   0.0,    6068.0,   0.0,   0.0,   0.0,    4872.0,   0.0,   0.0,   0.0,   10316.0,   0.0,   0.0,   0.0,    4904.0,   0.0,   0.0,   0.0,   12480.0,   0.0,   0.0,   0.0,    4960.0,   0.0,   0.0,   0.0,   16708.0,   0.0,   0.0,   0.0,    4940.0, 
modgen-n200-m90860q08c40-6295,   0.1,   0.0,   0.1,   95700.0,   0.0,   0.0,   0.1,    4388.0,   0.0,   0.0,   0.0,    5644.0,   0.0,   0.0,   0.0,    6056.0,   0.0,   0.0,   0.0,    5768.0,   0.0,   0.0,   0.0,   10424.0,   0.0,   0.0,   0.0,    5744.0,   0.0,   0.0,   0.0,   12116.0,   0.0,   0.0,   0.0,    5656.0,   0.0,   0.0,   0.0,   14688.0,   0.0,   0.0,   0.0,    5736.0, 
modgen-n200-m90860q08c40-3866,   0.1,   0.1,   0.1,   95788.0,   0.0,   0.0,   0.1,    4316.0,   0.0,   0.0,   0.0,    5508.0,   0.0,   0.0,   0.0,    6144.0,   0.0,   0.0,   0.0,    5696.0,   0.0,   0.0,   0.0,    8840.0,   0.0,   0.0,   0.0,    5768.0,   0.0,   0.0,   0.0,   12948.0,   0.0,   0.0,   0.0,    5696.0,   0.0,   0.0,   0.0,   16620.0,   0.0,   0.0,   0.0,    5768.0, 
modgen-n200-m90860q08c40-5377,   0.1,   0.0,   0.1,   95804.0,   0.0,   0.0,   0.1,    4460.0,   0.0,   0.0,   0.0,    4940.0,   0.0,   0.0,   0.0,    6376.0,   0.0,   0.0,   0.0,    4960.0,   0.0,   0.0,   0.0,   10628.0,   0.0,   0.0,   0.0,    4872.0,   0.0,   0.0,   0.0,   12792.0,   0.0,   0.0,   0.0,    4904.0,   0.0,   0.0,   0.0,   17668.0,   0.0,   0.0,   0.0,    4860.0, 
sokoban-p19.sas.cr.23,   0.5,   0.0,   0.8,  107336.0,   0.4,   0.0,   0.6,   37048.0,   0.1,   0.0,   0.2,   62616.0,   0.6,   0.0,   0.4,   78724.0,   0.1,   0.0,   0.2,   62504.0,   0.8,   0.1,   0.5,  141000.0,   0.1,   0.0,   0.1,   63384.0,   1.1,   0.2,   0.6,  202760.0,   0.1,   0.0,   0.2,   63868.0,   1.3,   0.4,   0.7,  262544.0,   0.1,   0.0,   0.2,   64180.0, 
sokoban-p09.sas.cr.25,   1.1,   0.1,   1.3,  128420.0,   1.0,   0.1,   1.1,  117492.0,   0.3,   0.1,   0.4,  194772.0,   1.1,   0.1,   1.1,  151464.0,   0.3,   0.1,   0.4,  194724.0,   1.3,   0.1,   1.1,  246316.0,   0.3,   0.1,   0.4,  194776.0,   1.9,   0.2,   1.3,  340892.0,   0.3,   0.1,   0.4,  194848.0,   2.7,   0.3,   1.4,  441652.0,   0.3,   0.1,   0.4,  194688.0, 
sokoban-p18.sas.cr.29,   0.5,   0.1,   0.6,  110660.0,   0.5,   0.0,   0.7,   48512.0,   0.2,   0.0,   0.2,  106384.0,   0.7,   0.1,   0.6,  104148.0,   0.1,   0.0,   0.2,  104212.0,   0.9,   0.2,   0.6,  186324.0,   0.2,   0.0,   0.2,  106456.0,   1.3,   0.4,   0.8,  272600.0,   0.2,   0.0,   0.2,  106528.0,   1.5,   0.6,   0.8,  353672.0,   0.2,   0.0,   0.2,  106492.0, 
sokoban-p10.sas.cr.35,   1.1,   0.1,   1.3,  116356.0,   1.3,   0.0,   1.6,   59224.0,   0.3,   0.0,   0.3,  186636.0,   1.7,   0.1,   1.0,  140328.0,   0.2,   0.1,   0.3,  184556.0,   2.1,   0.2,   0.9,  252852.0,   0.2,   0.0,   0.3,  184576.0,   2.8,   0.3,   1.1,  365284.0,   0.2,   0.1,   0.3,  184576.0,   3.4,   0.6,   1.2,  476180.0,   0.2,   0.1,   0.3,  184452.0, 
safe009_pso.oepc_true-unreach-call.i-cbmc-u2,   0.7,   0.1,   0.9,  118820.0,   0.7,   0.1,   1.0,   62204.0,   0.2,   0.0,   0.2,  112524.0,   1.2,   0.1,   0.9,  142124.0,   0.2,   0.0,   0.2,  110532.0,   1.7,   0.2,   1.0,  256396.0,   0.2,   0.0,   0.2,  108052.0,   2.3,   0.4,   1.2,  372484.0,   0.2,   0.0,   0.2,  107636.0,   2.8,   0.6,   1.2,  481896.0,   0.2,   0.0,   0.2,  108520.0, 
modgen-n200-m90860q08c40-28046,   1.3,   0.0,   1.4,   99996.0,   1.5,   0.0,   1.8,   17972.0,   0.4,   0.0,   0.5,  194868.0,   1.9,   0.0,   0.8,   33800.0,   0.4,   0.0,   0.5,  194736.0,   2.5,   0.1,   0.7,   57036.0,   0.4,   0.0,   0.5,  194940.0,   2.7,   0.1,   0.6,   80572.0,   0.4,   0.0,   0.5,  194920.0,   3.0,   0.1,   0.6,  100620.0,   0.4,   0.1,   0.5,  192796.0, 
safe028_tso.oepc_true-unreach-call.i-cbmc-u2,   0.9,   0.1,   1.0,  122144.0,   1.0,   0.0,   1.2,   73048.0,   0.2,   0.0,   0.3,  136200.0,   1.5,   0.1,   1.1,  168044.0,   0.2,   0.0,   0.2,  133944.0,   2.1,   0.2,   1.2,  301988.0,   0.2,   0.0,   0.3,  133716.0,   2.9,   0.4,   1.3,  433264.0,   0.2,   0.0,   0.2,  133572.0,   3.5,   0.7,   1.5,  563020.0,   0.2,   0.0,   0.3,  133484.0, 
square.2.0.i.smt2-cvc4,   0.8,   0.0,   0.9,  109084.0,   1.3,   0.0,   1.6,   44316.0,   0.3,   0.1,   0.4,  184528.0,   1.6,   0.1,   0.9,  102640.0,   0.3,   0.1,   0.4,  184728.0,   2.1,   0.1,   0.9,  180336.0,   0.3,   0.1,   0.4,  184504.0,   2.6,   0.2,   1.0,  259004.0,   0.3,   0.1,   0.4,  184536.0,   3.0,   0.4,   1.1,  331852.0,   0.3,   0.1,   0.4,  184668.0, 
safe027_pso.opt_true-unreach-call.i-cbmc-u2,   1.6,   0.1,   1.8,  133952.0,   1.9,   0.1,   2.2,  107864.0,   0.4,   0.1,   0.4,  194736.0,   2.5,   0.2,   1.7,  250576.0,   0.4,   0.1,   0.4,  194672.0,   3.8,   0.3,   1.9,  454556.0,   0.3,   0.1,   0.4,  194740.0,   4.8,   0.5,   2.1,  656928.0,   0.4,   0.1,   0.5,  194732.0,   5.9,   0.8,   2.4,  852856.0,   0.4,   0.1,   0.4,  194900.0, 
sokoban-p17.sas.ex.11,   3.9,   0.2,   4.3,  238600.0,   3.9,   0.2,   4.3,  272000.0,   0.7,   0.1,   0.8,  568580.0,   5.0,   0.3,   4.8,  768048.0,   0.7,   0.1,   0.8,  568556.0,   7.9,   0.6,   5.9, 1449280.0,   0.7,   0.1,   0.8,  568576.0,  12.0,   1.1,   6.9, 2130256.0,   0.6,   0.2,   0.8,  568512.0,  17.6,   1.5,   8.1, 2811508.0,   0.6,   0.2,   0.8,  568604.0, 
barman-pfile10-040.sas.cr.17,   4.0,   0.2,   4.4,  291444.0,   6.8,   0.3,   7.5,  635764.0,   1.6,   0.4,   2.0,  967760.0,   7.3,   0.6,   7.1, 1026488.0,   1.6,   0.4,   2.0,  965688.0,   8.3,   1.2,   7.7, 1777100.0,   1.6,   0.4,   2.0,  965628.0,   9.9,   1.9,   8.5, 2526972.0,   1.6,   0.4,   2.0,  965596.0,  10.9,   3.1,   9.0, 3276224.0,   1.6,   0.4,   2.0,  965664.0, 
barman-pfile10-040.sas.cr.21,   5.3,   0.2,   5.7,  354568.0,   8.6,   0.4,   9.2,  748600.0,   2.1,   0.6,   2.7, 1499464.0,   9.4,   0.7,   8.8, 1265460.0,   2.1,   0.5,   2.6, 1495456.0,  10.8,   1.2,   9.3, 2207508.0,   2.1,   0.5,   2.6, 1499420.0,  11.8,   2.3,   9.9, 3144092.0,   2.1,   0.5,   2.6, 1495344.0,  13.7,   3.7,  11.0, 4083400.0,   2.1,   0.5,   2.6, 1493328.0, 
sokoban-p04.sas.ex.13,   5.8,   0.2,   6.2,  201652.0,   7.8,   0.3,   8.6,  259680.0,   1.3,   0.3,   1.5,  926760.0,   9.3,   0.4,   6.3,  668388.0,   1.3,   0.2,   1.5,  926800.0,  12.4,   0.6,   6.7, 1255240.0,   1.2,   0.3,   1.5,  926868.0,  15.5,   0.9,   7.2, 1843920.0,   1.2,   0.2,   1.5,  926800.0,  19.7,   1.2,   7.9, 2428192.0,   1.2,   0.3,   1.5,  924836.0, 
barman-pfile08-030.sas.cr.27,   5.4,   0.2,   5.7,  306700.0,   8.6,   0.4,   9.4,  670720.0,   2.1,   0.5,   2.6, 1422300.0,   9.4,   0.6,   8.1, 1150676.0,   2.0,   0.5,   2.5, 1416152.0,  11.0,   1.3,   8.6, 1990588.0,   2.0,   0.6,   2.5, 1420248.0,  12.9,   2.0,   9.3, 2828476.0,   2.0,   0.5,   2.6, 1418200.0,  14.9,   3.5,  10.2, 3664240.0,   2.0,   0.6,   2.6, 1413988.0, 
uum8.smt2-stp212,  11.3,   0.1,  11.5,  111232.0,  16.8,   0.3,  18.1,  122472.0,   4.5,   0.6,   5.1, 1493784.0,  20.1,   0.3,   7.5,  162664.0,   4.4,   0.6,   5.0, 1493660.0,  23.9,   0.3,   5.7,  217172.0,   4.4,   0.5,   4.9, 1491648.0,  26.4,   0.3,   4.9,  271724.0,   4.4,   0.5,   4.9, 1491712.0,  28.9,   0.4,   4.6,  329072.0,   4.4,   0.6,   5.0, 1493740.0, 
add_01_1000_4.smt2-cvc4,  12.4,   0.1,  12.7,  143448.0,  13.6,   0.3,  14.7,  132484.0,   2.4,   0.3,   2.7, 1221776.0,  15.1,   0.3,   6.8,  271720.0,   2.4,   0.3,   2.8, 1217640.0,  18.3,   0.3,   5.6,  459392.0,   2.5,   0.3,   2.8, 1205352.0,  20.9,   0.5,   5.3,  653280.0,   2.4,   0.3,   2.7, 1203328.0,  24.9,   0.6,   5.4,  845480.0,   2.5,   0.2,   2.7, 1221744.0, 
barman-pfile10-038.sas.cr.25,   7.6,   0.3,   8.0,  419184.0,  11.9,   0.6,  12.9,  861472.0,   2.8,   0.7,   3.4, 2058364.0,  12.7,   0.8,  10.7, 1488040.0,   2.7,   0.7,   3.4, 2058336.0,  14.7,   1.7,  11.2, 2595748.0,   2.7,   0.7,   3.5, 2058412.0,  17.7,   2.5,  12.1, 3701668.0,   2.7,   0.8,   3.5, 2058200.0,  20.1,   4.1,  13.2, 4804524.0,   2.8,   0.7,   3.4, 2058360.0, 
sokoban-p01.sas.ex.17,   9.6,   0.3,   9.9,  262132.0,  15.7,   0.5,  16.9,  330452.0,   2.3,   0.4,   2.7,  971808.0,  18.2,   0.6,   9.9,  893644.0,   2.2,   0.4,   2.6,  973884.0,  25.5,   0.8,  10.1, 1672428.0,   2.2,   0.4,   2.6,  971728.0,  34.4,   1.1,  10.8, 2454892.0,   2.2,   0.4,   2.6,  971776.0,  42.0,   1.8,  11.7, 3228864.0,   2.1,   0.4,   2.7,  973864.0, 
pop90_shuffled,   3.4,   0.1,   3.7,  146880.0,   3.9,   0.2,   4.5,  141216.0,   1.1,   0.2,   1.2,  599520.0,   4.7,   0.3,   3.5,  338912.0,   1.1,   0.2,   1.2,  595368.0,   5.8,   0.6,   3.3,  641820.0,   1.1,   0.1,   1.2,  595432.0,   6.9,   1.0,   3.5,  932128.0,   1.1,   0.2,   1.3,  595464.0,   8.2,   1.6,   3.6, 1200412.0,   1.1,   0.2,   1.2,  595424.0, 
barman-pfile09-036.sas.cr.33,  15.8,   0.3,  16.2,  449056.0,  22.9,   0.8,  24.7, 1010108.0,   4.5,   0.9,   5.4, 3436816.0,  24.6,   1.1,  16.4, 1814144.0,   4.4,   0.9,   5.3, 3430640.0,  28.6,   1.9,  15.5, 3121620.0,   4.4,   0.9,   5.3, 3406112.0,  36.3,   3.0,  16.5, 4430592.0,   4.4,   0.9,   5.3, 3426576.0,  47.5,   5.2,  18.0, 5735020.0,   4.4,   0.9,   5.3, 3406112.0, 
modgen-n200-m90860q08c40-14424,  19.9,   0.1,  20.1,  131276.0,  23.8,   0.3,  25.1,  121188.0,   3.5,   0.4,   3.9,  975864.0,  28.9,   0.3,  10.3,  214052.0,   3.5,   0.5,   4.0,  975808.0,  34.4,   0.4,   7.5,  336212.0,   3.4,   0.5,   3.9,  971704.0,  41.0,   0.4,   6.9,  468776.0,   3.5,   0.3,   3.9,  973736.0,  47.1,   0.6,   6.4,  597116.0,   3.5,   0.4,   3.9,  971688.0, 
